# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
      0.85027158  0.114796800631419E+001
      0.90551690  0.997333646124814E+000
      0.96076223  0.887627897894453E+000
      1.01600756  0.924028985135732E+000
      1.07125288  0.110236207604894E+001
      1.12649821  0.135041102805587E+001
      1.18174354  0.161723683929104E+001
      1.23698886  0.192943088257132E+001
      1.29223419  0.236358743766091E+001
      1.34747951  0.295024212669197E+001
      1.40272484  0.360934727716120E+001
      1.45797017  0.418560333286167E+001
      1.51321549  0.455140980279429E+001
      1.56846082  0.468312904595665E+001
      1.62370614  0.464049154295901E+001
      1.67895147  0.450677416493903E+001
      1.73419680  0.437350714089450E+001
      1.78944212  0.431818163740643E+001
      1.84468745  0.433313480124710E+001
      1.89993278  0.431698756388121E+001
      1.95517810  0.420589363015110E+001
      2.01042343  0.409025442369865E+001
      2.06566875  0.411737652283755E+001
      2.12091408  0.428845339496559E+001
      2.17615941  0.445414936593293E+001
      2.23140473  0.451790420296851E+001
      2.28665006  0.453176470327761E+001
      2.34189538  0.457330190540948E+001
      2.39714071  0.465379150659592E+001
      2.45238604  0.478242689798568E+001
      2.50763136  0.499695564580297E+001
      2.56287669  0.528467572424151E+001
      2.61812201  0.556910055789840E+001
      2.67336734  0.580176158826159E+001
      2.72861267  0.598777915020320E+001
      2.78385799  0.611970125162347E+001
      2.83910332  0.617054875331365E+001
      2.89434865  0.615521515165187E+001
      2.94959397  0.612375771970401E+001
      3.00483930  0.609164721190090E+001
      3.06008462  0.603322629960347E+001
      3.11532995  0.593588431474640E+001
      3.17057528  0.582522276704575E+001
      3.22582060  0.575151406628341E+001
      3.28106593  0.574984479477150E+001
      3.33631125  0.577609894456148E+001
      3.39155658  0.572479683575224E+001
      3.44680191  0.557642580549599E+001
      3.50204723  0.544738041380358E+001
      3.55729256  0.541975082964147E+001
      3.61253789  0.543078503376007E+001
      3.66778321  0.539393572731778E+001
      3.72302854  0.531697181846607E+001
      3.77827386  0.525192758132303E+001
      3.83351919  0.520659665725495E+001
      3.88876452  0.514785699486197E+001
      3.94400984  0.506841993461988E+001
      3.99925517  0.501022160984710E+001
      4.05450049  0.499845200543140E+001
      4.10974582  0.497365082705433E+001
      4.16499115  0.483730135391234E+001
      4.22023647  0.457545519675485E+001
      4.27548180  0.427562868054071E+001
      4.33072712  0.399476077387043E+001
      4.38597245  0.369184477188241E+001
      4.44121778  0.332911420434817E+001
      4.49646310  0.296086723989567E+001
      4.55170843  0.267024142886555E+001
      4.60695376  0.246860697412625E+001
      4.66219908  0.230593483109752E+001
      4.71744441  0.214334680612310E+001
      4.77268973  0.197209377456870E+001
      4.82793506  0.179378986402044E+001
      4.88318039  0.162188911792878E+001
      4.93842571  0.147766624228639E+001
      4.99367104  0.135783410245391E+001
      5.04891636  0.123151475491442E+001
      5.10416169  0.108284350543389E+001
      5.15940702  0.925181942138721E+000
      5.21465234  0.767534699567095E+000
      5.26989767  0.601057266023150E+000
      5.32514300  0.424559428786913E+000
      5.38038832  0.259362348183117E+000
      5.43563365  0.132606415011098E+000
      5.49087897  0.552569357180015E-001
      5.54612430  0.183473522539537E-001
      5.60136963  0.476328045584267E-002
      5.65661495  0.952418702761377E-003
      5.71186028  0.144998392721634E-003
      5.76710560  0.166677035872163E-004
      5.82235093  0.144263620954960E-005
      5.87759626  0.194616694634489E-006
      5.93284158  0.164564721108933E-005
      5.98808691  0.196040240174583E-004
      6.04333223  0.173988537843032E-003
      6.09857756  0.115061902161324E-002
      6.15382289  0.569767287309627E-002
      6.20906821  0.213143215207875E-001
      6.26431354  0.612371151750831E-001
      6.31955887  0.139175855201960E+000
      6.37480419  0.262035401763536E+000
      6.43004952  0.431037197621649E+000
      6.48529484  0.640733886787252E+000
      6.54054017  0.862189299382249E+000
      6.59578550  0.104737011001677E+001
      6.65103082  0.117927649598089E+001
      6.70627615  0.129931124729840E+001
      6.76152147  0.146072602514335E+001
      6.81676680  0.166154134228632E+001
      6.87201213  0.183657870968284E+001
      6.92725745  0.193149913563034E+001
      6.98250278  0.197333961144745E+001
      7.03774810  0.203608262933092E+001
      7.09299343  0.215789502673728E+001
      7.14823876  0.232383346338280E+001
      7.20348408  0.249971729159485E+001
      7.25872941  0.266184859824366E+001
      7.31397474  0.281264434039333E+001
      7.36922006  0.296005397146548E+001
      7.42446539  0.308940041964167E+001
      7.47971071  0.320845532182624E+001
      7.53495604  0.339278637175063E+001
      7.59020137  0.369985823828294E+001
      7.64544669  0.406917711341765E+001
      7.70069202  0.438914649307742E+001
      7.75593734  0.463012413339812E+001
      7.81118267  0.486007169967990E+001
      7.86642800  0.516344306238797E+001
      7.92167332  0.555712391434703E+001
      7.97691865  0.595518366191919E+001
      8.03216398  0.623689282802798E+001
      8.08740930  0.635975007579160E+001
      8.14265463  0.636137766030383E+001
      8.19789995  0.627447775956777E+001
      8.25314528  0.611200813915516E+001
      8.30839061  0.590223916052487E+001
      8.36363593  0.565765971815322E+001
      8.41888126  0.535259131986035E+001
      8.47412658  0.500488225444120E+001
      8.52937191  0.471233054943734E+001
      8.58461724  0.454453610068227E+001
      8.63986256  0.447517239197622E+001
      8.69510789  0.446961694986938E+001
      8.75035321  0.455949868643363E+001
      8.80559854  0.478848287926570E+001
      8.86084387  0.516467206164824E+001
      8.91608919  0.570221586870451E+001
      8.97133452  0.642872246099439E+001
      9.02657985  0.729389665241488E+001
      9.08182517  0.808961944346854E+001
      9.13707050  0.851814444022322E+001
      9.19231582  0.841778989442454E+001
      9.24756115  0.793696594170771E+001
      9.30280648  0.742470065545876E+001
      9.35805180  0.711929119257322E+001
      9.41329713  0.696838487889624E+001
      9.46854245  0.677545234144712E+001
      9.52378778  0.648020785906600E+001
      9.57903311  0.620664886158195E+001
      9.63427843  0.604622720875118E+001
      9.68952376  0.592850546323456E+001
      9.74476909  0.575536815519512E+001
      9.80001441  0.554895070278124E+001
      9.85525974  0.539000324425675E+001
      9.91050506  0.528598337157806E+001
      9.96575039  0.518384073555750E+001
     10.02099572  0.506265795465139E+001
     10.07624104  0.493480873897561E+001
     10.13148637  0.480631338570605E+001
     10.18673169  0.470071573474666E+001
     10.24197702  0.467326990085014E+001
     10.29722235  0.476455267442124E+001
     10.35246767  0.496332054361597E+001
     10.40771300  0.520864637638113E+001
     10.46295832  0.540513872445350E+001
     10.51820365  0.544575178721160E+001
     10.57344898  0.526406679825732E+001
     10.62869430  0.490747005699502E+001
     10.68393963  0.454890979544375E+001
     10.73918496  0.437801498041050E+001
     10.79443028  0.446520483258213E+001
     10.84967561  0.473370881322641E+001
     10.90492093  0.502210326691754E+001
     10.96016626  0.516557316572821E+001
     11.01541159  0.508523688577501E+001
     11.07065691  0.483706887723493E+001
     11.12590224  0.456725175884844E+001
     11.18114756  0.441803387758001E+001
     11.23639289  0.444078297787893E+001
