# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.51000000  0.627945177482079E-009  0.386446938459560E-008 -0.150341886715132E-002  0.324502715347694E-008 -0.125809570422343E-008 -0.224260123091086E-001  0.999998567896406E+000  0.100000055522598E+001  0.108971044942260E+002  0.277126354544145E-006  0.170547740663395E-005 -0.663492618379771E+000
      0.52000000  0.663785662291896E-009  0.384214118026998E-008 -0.148013312404768E-002  0.317588778518970E-008 -0.125027367948203E-008 -0.229618660179444E-001  0.999998625362837E+000  0.100000054116291E+001  0.109387121009567E+002  0.287310037829958E-006  0.166301532341020E-005 -0.640654247329176E+000
      0.53000000  0.695173046336504E-009  0.382384845391693E-008 -0.146095103379946E-002  0.311428173369165E-008 -0.124629909251322E-008 -0.234933627803596E-001  0.999998677461558E+000  0.100000052926440E+001  0.109768993498952E+002  0.295218338000448E-006  0.162386932473861E-005 -0.620420395139339E+000
      0.54000000  0.721833962030728E-009  0.380972051082051E-008 -0.144606817242974E-002  0.305883229909599E-008 -0.124535495472529E-008 -0.240215576597820E-001  0.999998725064591E+000  0.100000051906969E+001  0.110122960162213E+002  0.300863724358459E-006  0.158790907873835E-005 -0.602727883306386E+000
      0.55000000  0.743697311840431E-009  0.379977286486549E-008 -0.143553341961640E-002  0.300822984472308E-008 -0.124665703933907E-008 -0.245474592862275E-001  0.999998768953092E+000  0.100000051016491E+001  0.110454670715080E+002  0.304340533582373E-006  0.155496716577229E-005 -0.587458096117368E+000
      0.56000000  0.760873884986485E-009  0.379391697388381E-008 -0.142926316728217E-002  0.296125573375598E-008 -0.124946744506602E-008 -0.250720128235364E-001  0.999998809815848E+000  0.100000050218437E+001  0.110769116239712E+002  0.305809467710498E-006  0.152484630267188E-005 -0.574447641099607E+000
      0.57000000  0.773633562173684E-009  0.379197141294964E-008 -0.142705720847312E-002  0.291680234559108E-008 -0.125310630530357E-008 -0.255960856659392E-001  0.999998848249471E+000  0.100000049481099E+001  0.111070630479953E+002  0.305482771505942E-006  0.149732637431660E-005 -0.563498550808773E+000
      0.58000000  0.782380756255268E-009  0.379367418090835E-008 -0.142861585692596E-002  0.287388898372723E-008 -0.125696151277636E-008 -0.261204559887015E-001  0.999998884760175E+000  0.100000048777581E+001  0.111362902078122E+002  0.303610258635659E-006  0.147217117757074E-005 -0.554387906840048E+000
      0.59000000  0.787628741130723E-009  0.379869582749736E-008 -0.143355784639374E-002  0.283167358635104E-008 -0.126049637607301E-008 -0.266458042090649E-001  0.999998919766967E+000  0.100000048085691E+001  0.111648996669645E+002  0.300466334796819E-006  0.144913479243727E-005 -0.546876782590211E+000
      0.60000000  0.789973511026353E-009  0.380665308727712E-008 -0.144143856741659E-002  0.278946024755500E-008 -0.126325517070353E-008 -0.271727073472925E-001  0.999998953606094E+000  0.100000047387752E+001  0.111931387647216E+002  0.296338142365791E-006  0.142796750621310E-005 -0.540718418327310E+000
      0.61000000  0.790067788431301E-009  0.381712271198642E-008 -0.145176821714785E-002  0.274670264931487E-008 -0.126486659217651E-008 -0.277016362147215E-001  0.999998986536559E+000  0.100000046670361E+001  0.112211994329910E+002  0.291514925997294E-006  0.140842122815398E-005 -0.535665560074758E+000
      0.62000000  0.788595762442832E-009  0.382965520448060E-008 -0.146402946427905E-002  0.270300359007285E-008 -0.126504516127151E-008 -0.282329552975888E-001  0.999999018746523E+000  0.100000045924096E+001  0.112492226224803E+002  0.286278692514753E-006  0.139025434441198E-005 -0.531476912250420E+000
      0.63000000  0.786249091449232E-009  0.384378817460319E-008 -0.147769426506005E-002  0.265811087336243E-008 -0.126359067135290E-008 -0.287669251531082E-001  0.999999050360396E+000  0.100000045143179E+001  0.112773032048491E+002  0.280896212033553E-006  0.137323597552942E-005 -0.527922672487914E+000
      0.64000000  0.783704646490084E-009  0.385905905957439E-008 -0.149223950679560E-002  0.261190988795140E-008 -0.126038580351924E-008 -0.293037070887613E-001  0.999999081446427E+000  0.100000044325108E+001  0.113054952182423E+002  0.275612381138471E-006  0.135714961130672E-005 -0.524789135216689E+000
      0.65000000  0.781604405991780E-009  0.387501697806236E-008 -0.150716120079526E-002  0.256441326832574E-008 -0.125539206700484E-008 -0.298433698577407E-001  0.999999112024601E+000  0.100000043470266E+001  0.113338173267508E+002  0.270644943644246E-006  0.134179611016575E-005 -0.521882368017660E+000
      0.66000000  0.780537840711711E-009  0.389123351727950E-008 -0.152198699628677E-002  0.251574807013071E-008 -0.124864424905997E-008 -0.303858980734614E-001  0.999999142074674E+000  0.100000042581510E+001  0.113622583697970E+002  0.266180540502842E-006  0.132699606198182E-005 -0.519030981176399E+000
      0.67000000  0.781027051542835E-009  0.390731228540817E-008 -0.153628683897468E-002  0.246614092886670E-008 -0.124024358017249E-008 -0.309312020243804E-001  0.999999171544160E+000  0.100000041663760E+001  0.113907828849691E+002  0.262372038224457E-006  0.131259152455333E-005 -0.516088025943476E+000
      0.68000000  0.783514844261582E-009  0.392289709657928E-008 -0.154968165139197E-002  0.241590169144869E-008 -0.123034983672376E-008 -0.314791285570954E-001  0.999999200356115E+000  0.100000040723583E+001  0.114193364971379E+002  0.259337065130538E-006  0.129844715423965E-005 -0.512932070530707E+000
      0.69000000  0.788355846261300E-009  0.393767869165965E-008 -0.156184996569297E-002  0.236540601921576E-008 -0.121917261389112E-008 -0.320294726907913E-001  0.999999228416588E+000  0.100000039768791E+001  0.114478510775174E+002  0.257157667169350E-006  0.128445076067087E-005 -0.509467514639335E+000
      0.70000000  0.795810692648296E-009  0.395139993442336E-008 -0.157253249180373E-002  0.231507745794636E-008 -0.120696200683830E-008 -0.325819896292495E-001  0.999999255621601E+000  0.100000038808051E+001  0.114762495883498E+002  0.255880980140535E-006  0.127051332369360E-005 -0.505624213173780E+000
      0.71000000  0.806043234533517E-009  0.396385945848864E-008 -0.158153465375131E-002  0.226536945598512E-008 -0.119399893811675E-008 -0.331364068473895E-001  0.999999281863555E+000  0.100000037850521E+001  0.115044505418081E+002  0.255520803167087E-006  0.125656851776771E-005 -0.501356487654152E+000
      0.72000000  0.819120652534220E-009  0.397491377494114E-008 -0.158872717347195E-002  0.221674778655378E-008 -0.118058536398578E-008 -0.336924359470660E-001  0.999999307036974E+000  0.100000036905507E+001  0.115323720151916E+002  0.256059949223357E-006  0.124257179480178E-005 -0.496641609646143E+000
