# Density of States
# Energy[eV]  DOS[1/eV]
#-----------------------
      9.51136451  0.709736877814608E+001
      9.56576388  0.679993329659995E+001
      9.62016326  0.661332427827229E+001
      9.67456263  0.652727310210854E+001
      9.72896201  0.652192767321996E+001
      9.78336138  0.647882740871617E+001
      9.83776076  0.623507646779832E+001
      9.89216013  0.577272467963316E+001
      9.94655951  0.525918150967581E+001
     10.00095888  0.489449320049005E+001
     10.05535826  0.477946416075086E+001
     10.10975763  0.488747242114045E+001
     10.16415701  0.509641902477096E+001
     10.21855638  0.526003410858186E+001
     10.27295576  0.528203667470457E+001
     10.32735513  0.515474786066444E+001
     10.38175451  0.495665565986552E+001
     10.43615388  0.479887276804211E+001
     10.49055326  0.476333324212173E+001
     10.54495263  0.489942100921963E+001
     10.59935201  0.520704448902497E+001
     10.65375138  0.556245124541196E+001
     10.70815076  0.575064850537996E+001
     10.76255014  0.564188089758207E+001
     10.81694951  0.528890839770428E+001
     10.87134889  0.485942058512028E+001
     10.92574826  0.453846118187808E+001
     10.98014764  0.444939651208990E+001
     11.03454701  0.457051394294732E+001
     11.08894639  0.475005857841715E+001
     11.14334576  0.486481400959378E+001
     11.19774514  0.491632357559148E+001
     11.25214451  0.493343005905237E+001
     11.30654389  0.488405213568955E+001
     11.36094326  0.475670092527129E+001
     11.41534264  0.462860039069863E+001
     11.46974201  0.456394155422674E+001
     11.52414139  0.450810249278798E+001
     11.57854076  0.436710729942063E+001
     11.63294014  0.417789205450069E+001
     11.68733951  0.410961846243475E+001
     11.74173889  0.424943108531799E+001
     11.79613826  0.446599798479599E+001
     11.85053764  0.455213817276454E+001
     11.90493701  0.443514873464076E+001
     11.95933639  0.419250890557272E+001
     12.01373576  0.393067587249127E+001
     12.06813514  0.371442150689544E+001
     12.12253451  0.358702051958842E+001
     12.17693389  0.360470095812939E+001
     12.23133326  0.381476743985012E+001
     12.28573264  0.418359576216516E+001
     12.34013202  0.457432712854596E+001
     12.39453139  0.483588566479807E+001
     12.44893077  0.490975292003745E+001
     12.50333014  0.483144771391974E+001
     12.55772952  0.465036990345324E+001
     12.61212889  0.439046514609052E+001
     12.66652827  0.408437539355390E+001
     12.72092764  0.379650046923642E+001
     12.77532702  0.358811167384238E+001
     12.82972639  0.348751352842338E+001
     12.88412577  0.351073059074353E+001
     12.93852514  0.365289597807251E+001
     12.99292452  0.381168411007588E+001
     13.04732389  0.379273000645727E+001
     13.10172327  0.348056624643029E+001
     13.15612264  0.297520384884804E+001
     13.21052202  0.250176413846424E+001
     13.26492139  0.220736895616510E+001
     13.31932077  0.208074620505751E+001
     13.37372014  0.204605077144720E+001
     13.42811952  0.208257127438526E+001
     13.48251889  0.222538723158108E+001
     13.53691827  0.247168239917196E+001
     13.59131764  0.272696422216630E+001
     13.64571702  0.285883614587726E+001
     13.70011639  0.279344504596108E+001
     13.75451577  0.254556322871030E+001
     13.80891515  0.217308394288434E+001
     13.86331452  0.174264775624974E+001
     13.91771390  0.133585693378202E+001
     13.97211327  0.104015042889614E+001
     14.02651265  0.901938131874836E+000
     14.08091202  0.891338436675676E+000
     14.13531140  0.922222759133308E+000
     14.18971077  0.908397019829250E+000
     14.24411015  0.807455021423665E+000
     14.29850952  0.633184043615945E+000
     14.35290890  0.440384127036529E+000
     14.40730827  0.287450679838851E+000
     14.46170765  0.201925756172576E+000
